time,velocity,altitude
0,0,0
0.033,0.277,0
0.066,0.277,0
0.1,0.277,0
0.133,0.555,0
0.166,0.555,0
0.199,0.555,0
0.233,0.555,0
0.266,0.555,0
0.3,0.833,0
0.333,0.833,0
0.366,0.833,0
0.399,0.833,0
0.433,0.833,0
0.466,1.111,0
0.499,1.111,0
0.533,1.111,0
0.566,1.111,0
0.6,1.111,0
0.633,1.388,0
0.666,1.388,0
0.7,1.388,0
0.733,1.388,0
0.766,1.666,0
0.799,1.666,0
0.833,1.666,0
0.866,1.944,0
0.899,1.944,0
0.933,1.944,0
0.966,1.944,0
0.999,2.222,0
1.033,2.222,0
1.066,2.222,0
1.1,2.5,0
1.133,2.5,0
1.166,2.5,0
1.2,2.5,0
1.233,2.5,0
1.266,2.777,0
1.3,2.777,0
1.333,2.777,0
1.366,2.777,0
1.4,2.777,0
1.433,2.777,0
1.466,3.055,0
1.5,3.055,0
1.533,3.055,0
1.566,3.055,0
1.6,3.055,0
1.633,3.055,0
1.666,3.055,0
1.7,3.055,0
1.733,3.055,0
1.766,3.055,0
1.8,3.333,0
1.833,3.333,0
1.866,3.333,0
1.9,3.333,0
1.933,3.333,0
1.966,3.333,0
2,3.333,0
2.033,3.333,0
2.066,3.333,0
2.1,3.333,0
2.133,3.333,0
2.166,3.333,0
2.2,3.333,0
2.233,3.333,0
2.266,3.333,0
2.3,3.333,0
2.333,3.611,0
2.366,3.611,0
2.4,3.611,0
2.433,3.611,0
2.466,3.611,0
2.5,3.611,0
2.533,3.611,0
2.566,3.611,0
2.6,3.611,0
2.633,3.611,0
2.666,3.888,0
2.7,3.888,0
2.733,3.888,0
2.766,3.888,0
2.8,3.888,0
2.833,4.166,0
2.866,4.166,0
2.899,4.166,0
2.933,4.166,0
2.966,4.444,0
2.999,4.444,0
3.033,4.444,0
3.066,4.444,0
3.099,4.444,0
3.133,4.722,0
3.166,4.722,0
3.199,4.722,0
3.233,4.722,0
3.266,5,0
3.299,5,0
3.333,5,0
3.366,5,0
3.399,5,0
3.433,5.277,0
3.466,5.277,0
3.499,5.277,0
3.533,5.555,0
3.566,5.555,0
3.599,5.555,0
3.633,5.833,0
3.733,6.111,0
3.766,6.111,0
3.799,6.111,0
3.833,6.388,0
3.866,6.388,0
3.899,6.388,0
3.933,6.388,0
3.966,6.666,0
3.999,6.666,0
4.033,6.666,0
4.066,6.666,0
4.099,6.944,0
4.133,6.944,0
4.166,6.944,0
4.199,7.222,0
4.233,7.222,0
4.266,7.222,0
4.299,7.5,0
4.333,7.5,0
4.366,7.777,0
4.399,7.777,0
4.433,7.777,0
4.466,7.777,0
4.499,8.055,0
4.533,8.055,0
4.566,8.055,0
4.599,8.055,0
4.633,8.333,0
4.666,8.333,0
4.699,8.333,0
4.733,8.333,0
4.766,8.611,0
4.799,8.611,0
4.833,8.611,0
4.866,8.888,0
4.899,8.888,0
4.933,8.888,0
4.966,8.888,0
4.999,9.166,0
5.033,9.166,0
5.066,9.444,0
5.099,9.444,0
5.133,9.444,0
5.166,9.722,0
5.199,9.722,0
5.233,9.722,0
5.266,10,0
5.299,10,0
5.333,10,0
5.366,10.277,0
5.399,10.277,0
5.433,10.277,0
5.466,10.277,0
5.499,10.277,0
5.533,10.555,0
5.566,10.555,0
5.599,10.555,0
5.633,10.833,0
5.666,10.833,0
5.699,10.833,0
5.733,11.111,0
5.766,11.111,0
5.833,11.388,0
5.866,11.388,0
5.899,11.666,0
5.933,11.666,0
5.966,11.944,0
5.999,11.944,0
6.033,12.222,0
6.066,12.222,0
6.099,12.222,0
6.133,12.5,0
6.166,12.5,0
6.199,12.777,0
6.233,12.777,0
6.266,13.055,0
6.299,13.055,0
6.333,13.333,0
6.366,13.333,0
6.399,13.333,0
6.433,13.611,0
6.466,13.611,0
6.499,13.888,0
6.533,13.888,0
6.566,14.166,0
6.599,14.166,0
6.633,14.166,0
